dataset,exp_name,step,gaps
titanic,abs_5_10_random_random,1,0.05555555555555558
titanic,abs_5_10_random_random,2,0.04166666666666674
titanic,abs_5_10_random_random,3,0.02777777777777779
titanic,abs_5_10_random_random,4,0.01388888888888895
titanic,abs_5_10_random_random,5,0.0
titanic,abs_5_10_random_random,6,0.04166666666666674
titanic,abs_5_10_random_random,7,0.04166666666666674
titanic,abs_5_10_random_sort,1,0.02777777777777779
titanic,abs_5_10_random_sort,2,0.01388888888888895
titanic,abs_5_10_random_sort,3,0.01388888888888895
titanic,abs_5_10_random_sort,4,0.01388888888888895
titanic,abs_5_10_random_sort,5,0.01388888888888895
titanic,abs_5_10_random_sort,6,0.04166666666666674
titanic,abs_5_10_random_sort,7,0.04166666666666674
titanic,abs_5_10_random_prob,1,0.04166666666666674
titanic,abs_5_10_random_prob,2,0.02777777777777779
titanic,abs_5_10_random_prob,3,0.02777777777777779
titanic,abs_5_10_random_prob,4,0.02777777777777779
titanic,abs_5_10_random_prob,5,0.02777777777777779
titanic,abs_5_10_random_prob,6,0.04166666666666674
titanic,abs_5_10_random_prob,7,0.05555555555555558
titanic,abs_5_10_sort_random,1,0.04166666666666674
titanic,abs_5_10_sort_random,2,0.01388888888888895
titanic,abs_5_10_sort_random,3,0.01388888888888895
titanic,abs_5_10_sort_random,4,0.01388888888888895
titanic,abs_5_10_sort_random,5,0.01388888888888895
titanic,abs_5_10_sort_random,6,0.04166666666666674
titanic,abs_5_10_sort_random,7,0.04166666666666674
titanic,abs_5_10_sort_sort,1,0.02777777777777779
titanic,abs_5_10_sort_sort,2,0.02777777777777779
titanic,abs_5_10_sort_sort,3,0.01388888888888895
titanic,abs_5_10_sort_sort,4,0.01388888888888895
titanic,abs_5_10_sort_sort,5,0.01388888888888895
titanic,abs_5_10_sort_sort,6,0.04166666666666674
titanic,abs_5_10_sort_sort,7,0.04166666666666674
titanic,abs_5_10_sort_prob,1,0.04166666666666674
titanic,abs_5_10_sort_prob,2,0.02777777777777779
titanic,abs_5_10_sort_prob,3,0.02777777777777779
titanic,abs_5_10_sort_prob,4,0.01388888888888895
titanic,abs_5_10_sort_prob,5,0.02777777777777779
titanic,abs_5_10_sort_prob,6,0.02777777777777779
titanic,abs_5_10_sort_prob,7,0.04166666666666674
titanic,abs_5_10_full_random,1,0.04166666666666674
titanic,abs_5_10_full_random,2,0.02777777777777779
titanic,abs_5_10_full_random,3,0.02777777777777779
titanic,abs_5_10_full_random,4,0.01388888888888895
titanic,abs_5_10_full_random,5,0.01388888888888895
titanic,abs_5_10_full_random,6,0.01388888888888895
titanic,abs_5_10_full_random,7,0.02777777777777779
titanic,abs_5_10_full_sort,1,0.02777777777777779
titanic,abs_5_10_full_sort,2,0.02777777777777779
titanic,abs_5_10_full_sort,3,0.01388888888888895
titanic,abs_5_10_full_sort,4,0.01388888888888895
titanic,abs_5_10_full_sort,5,0.01388888888888895
titanic,abs_5_10_full_sort,6,0.04166666666666674
titanic,abs_5_10_full_sort,7,0.04166666666666674
titanic,abs_5_10_full_prob,1,0.02777777777777779
titanic,abs_5_10_full_prob,2,0.02777777777777779
titanic,abs_5_10_full_prob,3,0.01388888888888895
titanic,abs_5_10_full_prob,4,0.01388888888888895
titanic,abs_5_10_full_prob,5,0.01388888888888895
titanic,abs_5_10_full_prob,6,0.04166666666666674
titanic,abs_5_10_full_prob,7,0.04166666666666674
titanic,abs_10_5_random_random,1,0.02777777777777779
titanic,abs_10_5_random_random,2,0.02777777777777779
titanic,abs_10_5_random_random,3,0.01388888888888895
titanic,abs_10_5_random_random,4,0.01388888888888895
titanic,abs_10_5_random_random,5,0.01388888888888895
titanic,abs_10_5_random_random,6,0.04166666666666674
titanic,abs_10_5_random_random,7,0.04166666666666674
titanic,abs_10_5_random_sort,1,0.02777777777777779
titanic,abs_10_5_random_sort,2,0.02777777777777779
titanic,abs_10_5_random_sort,3,0.02777777777777779
titanic,abs_10_5_random_sort,4,0.02777777777777779
titanic,abs_10_5_random_sort,5,0.02777777777777779
titanic,abs_10_5_random_sort,6,0.02777777777777779
titanic,abs_10_5_random_sort,7,0.04166666666666674
titanic,abs_10_5_random_prob,1,0.01388888888888895
titanic,abs_10_5_random_prob,2,0.01388888888888895
titanic,abs_10_5_random_prob,3,0.01388888888888895
titanic,abs_10_5_random_prob,4,0.01388888888888895
titanic,abs_10_5_random_prob,5,0.01388888888888895
titanic,abs_10_5_random_prob,6,0.01388888888888895
titanic,abs_10_5_random_prob,7,0.02777777777777779
titanic,abs_10_5_sort_random,1,0.01388888888888895
titanic,abs_10_5_sort_random,2,0.01388888888888895
titanic,abs_10_5_sort_random,3,0.01388888888888895
titanic,abs_10_5_sort_random,4,0.01388888888888895
titanic,abs_10_5_sort_random,5,0.01388888888888895
titanic,abs_10_5_sort_random,6,0.01388888888888895
titanic,abs_10_5_sort_random,7,0.02777777777777779
titanic,abs_10_5_sort_sort,1,0.02777777777777779
titanic,abs_10_5_sort_sort,2,0.02777777777777779
titanic,abs_10_5_sort_sort,3,0.02777777777777779
titanic,abs_10_5_sort_sort,4,0.02777777777777779
titanic,abs_10_5_sort_sort,5,0.02777777777777779
titanic,abs_10_5_sort_sort,6,0.02777777777777779
titanic,abs_10_5_sort_sort,7,0.04166666666666674
titanic,abs_10_5_sort_prob,1,0.01388888888888895
titanic,abs_10_5_sort_prob,2,0.01388888888888895
titanic,abs_10_5_sort_prob,3,0.01388888888888895
titanic,abs_10_5_sort_prob,4,0.01388888888888895
titanic,abs_10_5_sort_prob,5,0.01388888888888895
titanic,abs_10_5_sort_prob,6,0.01388888888888895
titanic,abs_10_5_sort_prob,7,0.01388888888888895
titanic,abs_10_5_full_random,1,0.01388888888888895
titanic,abs_10_5_full_random,2,0.01388888888888895
titanic,abs_10_5_full_random,3,0.0
titanic,abs_10_5_full_random,4,0.0
titanic,abs_10_5_full_random,5,0.0
titanic,abs_10_5_full_random,6,0.01388888888888895
titanic,abs_10_5_full_random,7,0.02777777777777779
titanic,abs_10_5_full_sort,1,0.02777777777777779
titanic,abs_10_5_full_sort,2,0.02777777777777779
titanic,abs_10_5_full_sort,3,0.02777777777777779
titanic,abs_10_5_full_sort,4,0.02777777777777779
titanic,abs_10_5_full_sort,5,0.02777777777777779
titanic,abs_10_5_full_sort,6,0.02777777777777779
titanic,abs_10_5_full_sort,7,0.04166666666666674
titanic,abs_10_5_full_prob,1,0.01388888888888895
titanic,abs_10_5_full_prob,2,0.01388888888888895
titanic,abs_10_5_full_prob,3,0.01388888888888895
titanic,abs_10_5_full_prob,4,0.01388888888888895
titanic,abs_10_5_full_prob,5,0.01388888888888895
titanic,abs_10_5_full_prob,6,0.01388888888888895
titanic,abs_10_5_full_prob,7,0.01388888888888895
titanic,abs_10_10_random_random,1,0.05555555555555558
titanic,abs_10_10_random_random,2,0.02777777777777779
titanic,abs_10_10_random_random,3,0.01388888888888895
titanic,abs_10_10_random_random,4,0.01388888888888895
titanic,abs_10_10_random_random,5,0.01388888888888895
titanic,abs_10_10_random_random,6,0.02777777777777779
titanic,abs_10_10_random_random,7,0.04166666666666674
titanic,abs_10_10_random_sort,1,0.02777777777777779
titanic,abs_10_10_random_sort,2,0.02777777777777779
titanic,abs_10_10_random_sort,3,0.02777777777777779
titanic,abs_10_10_random_sort,4,0.02777777777777779
titanic,abs_10_10_random_sort,5,0.02777777777777779
titanic,abs_10_10_random_sort,6,0.02777777777777779
titanic,abs_10_10_random_sort,7,0.04166666666666674
titanic,abs_10_10_random_prob,1,0.04166666666666674
titanic,abs_10_10_random_prob,2,0.02777777777777779
titanic,abs_10_10_random_prob,3,0.01388888888888895
titanic,abs_10_10_random_prob,4,0.0
titanic,abs_10_10_random_prob,5,0.0
titanic,abs_10_10_random_prob,6,0.01388888888888895
titanic,abs_10_10_random_prob,7,0.02777777777777779
titanic,abs_10_10_sort_random,1,0.01388888888888895
titanic,abs_10_10_sort_random,2,0.01388888888888895
titanic,abs_10_10_sort_random,3,0.01388888888888895
titanic,abs_10_10_sort_random,4,0.0
titanic,abs_10_10_sort_random,5,0.01388888888888895
titanic,abs_10_10_sort_random,6,0.05555555555555558
titanic,abs_10_10_sort_random,7,0.05555555555555558
titanic,abs_10_10_sort_sort,1,0.02777777777777779
titanic,abs_10_10_sort_sort,2,0.02777777777777779
titanic,abs_10_10_sort_sort,3,0.02777777777777779
titanic,abs_10_10_sort_sort,4,0.02777777777777779
titanic,abs_10_10_sort_sort,5,0.02777777777777779
titanic,abs_10_10_sort_sort,6,0.02777777777777779
titanic,abs_10_10_sort_sort,7,0.04166666666666674
titanic,abs_10_10_sort_prob,1,0.02777777777777779
titanic,abs_10_10_sort_prob,2,0.01388888888888895
titanic,abs_10_10_sort_prob,3,0.01388888888888895
titanic,abs_10_10_sort_prob,4,0.01388888888888895
titanic,abs_10_10_sort_prob,5,0.01388888888888895
titanic,abs_10_10_sort_prob,6,0.02777777777777779
titanic,abs_10_10_sort_prob,7,0.02777777777777779
titanic,abs_10_10_full_random,1,0.01388888888888895
titanic,abs_10_10_full_random,2,0.0
titanic,abs_10_10_full_random,3,0.0
titanic,abs_10_10_full_random,4,0.01388888888888895
titanic,abs_10_10_full_random,5,0.02777777777777779
titanic,abs_10_10_full_random,6,0.04166666666666674
titanic,abs_10_10_full_random,7,0.04166666666666674
titanic,abs_10_10_full_sort,1,0.02777777777777779
titanic,abs_10_10_full_sort,2,0.02777777777777779
titanic,abs_10_10_full_sort,3,0.02777777777777779
titanic,abs_10_10_full_sort,4,0.02777777777777779
titanic,abs_10_10_full_sort,5,0.02777777777777779
titanic,abs_10_10_full_sort,6,0.02777777777777779
titanic,abs_10_10_full_sort,7,0.04166666666666674
titanic,abs_10_10_full_prob,1,0.02777777777777779
titanic,abs_10_10_full_prob,2,0.01388888888888895
titanic,abs_10_10_full_prob,3,0.01388888888888895
titanic,abs_10_10_full_prob,4,0.01388888888888895
titanic,abs_10_10_full_prob,5,0.01388888888888895
titanic,abs_10_10_full_prob,6,0.04166666666666674
titanic,abs_10_10_full_prob,7,0.04166666666666674
titanic,abs_interaction_5_5_random_random,1,0.05555555555555558
titanic,abs_interaction_5_5_random_random,2,0.04166666666666674
titanic,abs_interaction_5_5_random_random,3,0.02777777777777779
titanic,abs_interaction_5_5_random_random,4,0.01388888888888895
titanic,abs_interaction_5_5_random_random,5,0.02777777777777779
titanic,abs_interaction_5_5_random_random,6,0.04166666666666674
titanic,abs_interaction_5_5_random_random,7,0.04166666666666674
titanic,abs_interaction_5_5_random_sort,1,0.05555555555555558
titanic,abs_interaction_5_5_random_sort,2,0.02777777777777779
titanic,abs_interaction_5_5_random_sort,3,0.02777777777777779
titanic,abs_interaction_5_5_random_sort,4,0.02777777777777779
titanic,abs_interaction_5_5_random_sort,5,0.02777777777777779
titanic,abs_interaction_5_5_random_sort,6,0.05555555555555558
titanic,abs_interaction_5_5_random_sort,7,0.05555555555555558
titanic,abs_interaction_5_5_random_prob,1,0.04166666666666674
titanic,abs_interaction_5_5_random_prob,2,0.04166666666666674
titanic,abs_interaction_5_5_random_prob,3,0.04166666666666674
titanic,abs_interaction_5_5_random_prob,4,0.02777777777777779
titanic,abs_interaction_5_5_random_prob,5,0.02777777777777779
titanic,abs_interaction_5_5_random_prob,6,0.05555555555555558
titanic,abs_interaction_5_5_random_prob,7,0.05555555555555558
titanic,abs_interaction_5_5_sort_random,1,0.05555555555555558
titanic,abs_interaction_5_5_sort_random,2,0.01388888888888895
titanic,abs_interaction_5_5_sort_random,3,0.01388888888888895
titanic,abs_interaction_5_5_sort_random,4,0.01388888888888895
titanic,abs_interaction_5_5_sort_random,5,0.01388888888888895
titanic,abs_interaction_5_5_sort_random,6,0.01388888888888895
titanic,abs_interaction_5_5_sort_random,7,0.01388888888888895
titanic,abs_interaction_5_5_sort_sort,1,0.02777777777777779
titanic,abs_interaction_5_5_sort_sort,2,0.02777777777777779
titanic,abs_interaction_5_5_sort_sort,3,0.02777777777777779
titanic,abs_interaction_5_5_sort_sort,4,0.02777777777777779
titanic,abs_interaction_5_5_sort_sort,5,0.02777777777777779
titanic,abs_interaction_5_5_sort_sort,6,0.02777777777777779
titanic,abs_interaction_5_5_sort_sort,7,0.04166666666666674
titanic,abs_interaction_5_5_sort_prob,1,0.02777777777777779
titanic,abs_interaction_5_5_sort_prob,2,0.02777777777777779
titanic,abs_interaction_5_5_sort_prob,3,0.01388888888888895
titanic,abs_interaction_5_5_sort_prob,4,0.01388888888888895
titanic,abs_interaction_5_5_sort_prob,5,0.01388888888888895
titanic,abs_interaction_5_5_sort_prob,6,0.04166666666666674
titanic,abs_interaction_5_5_sort_prob,7,0.04166666666666674
titanic,abs_interaction_5_5_full_random,1,0.05555555555555558
titanic,abs_interaction_5_5_full_random,2,0.05555555555555558
titanic,abs_interaction_5_5_full_random,3,0.04166666666666674
titanic,abs_interaction_5_5_full_random,4,0.02777777777777779
titanic,abs_interaction_5_5_full_random,5,0.02777777777777779
titanic,abs_interaction_5_5_full_random,6,0.02777777777777779
titanic,abs_interaction_5_5_full_random,7,0.02777777777777779
titanic,abs_interaction_5_5_full_sort,1,0.02777777777777779
titanic,abs_interaction_5_5_full_sort,2,0.02777777777777779
titanic,abs_interaction_5_5_full_sort,3,0.02777777777777779
titanic,abs_interaction_5_5_full_sort,4,0.02777777777777779
titanic,abs_interaction_5_5_full_sort,5,0.02777777777777779
titanic,abs_interaction_5_5_full_sort,6,0.02777777777777779
titanic,abs_interaction_5_5_full_sort,7,0.04166666666666674
titanic,abs_interaction_5_5_full_prob,1,0.04166666666666674
titanic,abs_interaction_5_5_full_prob,2,0.01388888888888895
titanic,abs_interaction_5_5_full_prob,3,0.01388888888888895
titanic,abs_interaction_5_5_full_prob,4,0.01388888888888895
titanic,abs_interaction_5_5_full_prob,5,0.01388888888888895
titanic,abs_interaction_5_5_full_prob,6,0.04166666666666674
titanic,abs_interaction_5_5_full_prob,7,0.04166666666666674
titanic,abs_interaction_5_10_random_random,1,0.02777777777777779
titanic,abs_interaction_5_10_random_random,2,0.02777777777777779
titanic,abs_interaction_5_10_random_random,3,0.02777777777777779
titanic,abs_interaction_5_10_random_random,4,0.01388888888888895
titanic,abs_interaction_5_10_random_random,5,0.01388888888888895
titanic,abs_interaction_5_10_random_random,6,0.04166666666666674
titanic,abs_interaction_5_10_random_random,7,0.04166666666666674
titanic,abs_interaction_5_10_random_sort,1,0.01388888888888895
titanic,abs_interaction_5_10_random_sort,2,0.0
titanic,abs_interaction_5_10_random_sort,3,0.0
titanic,abs_interaction_5_10_random_sort,4,0.0
titanic,abs_interaction_5_10_random_sort,5,0.0
titanic,abs_interaction_5_10_random_sort,6,0.0
titanic,abs_interaction_5_10_random_sort,7,0.0
titanic,abs_interaction_5_10_random_prob,1,0.04166666666666674
titanic,abs_interaction_5_10_random_prob,2,0.02777777777777779
titanic,abs_interaction_5_10_random_prob,3,0.02777777777777779
titanic,abs_interaction_5_10_random_prob,4,0.01388888888888895
titanic,abs_interaction_5_10_random_prob,5,0.01388888888888895
titanic,abs_interaction_5_10_random_prob,6,0.01388888888888895
titanic,abs_interaction_5_10_random_prob,7,0.02777777777777779
titanic,abs_interaction_5_10_sort_random,1,0.02777777777777779
titanic,abs_interaction_5_10_sort_random,2,0.02777777777777779
titanic,abs_interaction_5_10_sort_random,3,0.02777777777777779
titanic,abs_interaction_5_10_sort_random,4,0.02777777777777779
titanic,abs_interaction_5_10_sort_random,5,0.02777777777777779
titanic,abs_interaction_5_10_sort_random,6,0.04166666666666674
titanic,abs_interaction_5_10_sort_random,7,0.05555555555555558
titanic,abs_interaction_5_10_sort_sort,1,0.02777777777777779
titanic,abs_interaction_5_10_sort_sort,2,0.01388888888888895
titanic,abs_interaction_5_10_sort_sort,3,0.01388888888888895
titanic,abs_interaction_5_10_sort_sort,4,0.01388888888888895
titanic,abs_interaction_5_10_sort_sort,5,0.01388888888888895
titanic,abs_interaction_5_10_sort_sort,6,0.04166666666666674
titanic,abs_interaction_5_10_sort_sort,7,0.04166666666666674
titanic,abs_interaction_5_10_sort_prob,1,0.02777777777777779
titanic,abs_interaction_5_10_sort_prob,2,0.01388888888888895
titanic,abs_interaction_5_10_sort_prob,3,0.01388888888888895
titanic,abs_interaction_5_10_sort_prob,4,0.01388888888888895
titanic,abs_interaction_5_10_sort_prob,5,0.01388888888888895
titanic,abs_interaction_5_10_sort_prob,6,0.04166666666666674
titanic,abs_interaction_5_10_sort_prob,7,0.04166666666666674
titanic,abs_interaction_5_10_full_random,1,0.02777777777777779
titanic,abs_interaction_5_10_full_random,2,0.01388888888888895
titanic,abs_interaction_5_10_full_random,3,0.01388888888888895
titanic,abs_interaction_5_10_full_random,4,0.0
titanic,abs_interaction_5_10_full_random,5,0.0
titanic,abs_interaction_5_10_full_random,6,0.0
titanic,abs_interaction_5_10_full_random,7,0.01388888888888895
titanic,abs_interaction_5_10_full_sort,1,0.02777777777777779
titanic,abs_interaction_5_10_full_sort,2,0.02777777777777779
titanic,abs_interaction_5_10_full_sort,3,0.01388888888888895
titanic,abs_interaction_5_10_full_sort,4,0.01388888888888895
titanic,abs_interaction_5_10_full_sort,5,0.01388888888888895
titanic,abs_interaction_5_10_full_sort,6,0.04166666666666674
titanic,abs_interaction_5_10_full_sort,7,0.04166666666666674
titanic,abs_interaction_5_10_full_prob,1,0.01388888888888895
titanic,abs_interaction_5_10_full_prob,2,0.01388888888888895
titanic,abs_interaction_5_10_full_prob,3,0.01388888888888895
titanic,abs_interaction_5_10_full_prob,4,0.01388888888888895
titanic,abs_interaction_5_10_full_prob,5,0.01388888888888895
titanic,abs_interaction_5_10_full_prob,6,0.02777777777777779
titanic,abs_interaction_5_10_full_prob,7,0.02777777777777779
titanic,abs_interaction_10_5_random_random,1,0.01388888888888895
titanic,abs_interaction_10_5_random_random,2,0.01388888888888895
titanic,abs_interaction_10_5_random_random,3,0.01388888888888895
titanic,abs_interaction_10_5_random_random,4,0.0
titanic,abs_interaction_10_5_random_random,5,0.01388888888888895
titanic,abs_interaction_10_5_random_random,6,0.06944444444444453
titanic,abs_interaction_10_5_random_random,7,0.06944444444444453
titanic,abs_interaction_10_5_random_sort,1,0.02777777777777779
titanic,abs_interaction_10_5_random_sort,2,0.02777777777777779
titanic,abs_interaction_10_5_random_sort,3,0.02777777777777779
titanic,abs_interaction_10_5_random_sort,4,0.02777777777777779
titanic,abs_interaction_10_5_random_sort,5,0.02777777777777779
titanic,abs_interaction_10_5_random_sort,6,0.02777777777777779
titanic,abs_interaction_10_5_random_sort,7,0.04166666666666674
titanic,abs_interaction_10_5_random_prob,1,0.02777777777777779
titanic,abs_interaction_10_5_random_prob,2,0.02777777777777779
titanic,abs_interaction_10_5_random_prob,3,0.02777777777777779
titanic,abs_interaction_10_5_random_prob,4,0.01388888888888895
titanic,abs_interaction_10_5_random_prob,5,0.01388888888888895
titanic,abs_interaction_10_5_random_prob,6,0.02777777777777779
titanic,abs_interaction_10_5_random_prob,7,0.02777777777777779
titanic,abs_interaction_10_5_sort_random,1,0.02777777777777779
titanic,abs_interaction_10_5_sort_random,2,0.02777777777777779
titanic,abs_interaction_10_5_sort_random,3,0.02777777777777779
titanic,abs_interaction_10_5_sort_random,4,0.02777777777777779
titanic,abs_interaction_10_5_sort_random,5,0.02777777777777779
titanic,abs_interaction_10_5_sort_random,6,0.02777777777777779
titanic,abs_interaction_10_5_sort_random,7,0.02777777777777779
titanic,abs_interaction_10_5_sort_sort,1,0.02777777777777779
titanic,abs_interaction_10_5_sort_sort,2,0.02777777777777779
titanic,abs_interaction_10_5_sort_sort,3,0.02777777777777779
titanic,abs_interaction_10_5_sort_sort,4,0.02777777777777779
titanic,abs_interaction_10_5_sort_sort,5,0.02777777777777779
titanic,abs_interaction_10_5_sort_sort,6,0.02777777777777779
titanic,abs_interaction_10_5_sort_sort,7,0.04166666666666674
titanic,abs_interaction_10_5_sort_prob,1,0.01388888888888895
titanic,abs_interaction_10_5_sort_prob,2,0.0
titanic,abs_interaction_10_5_sort_prob,3,0.0
titanic,abs_interaction_10_5_sort_prob,4,0.0
titanic,abs_interaction_10_5_sort_prob,5,0.0
titanic,abs_interaction_10_5_sort_prob,6,0.0
titanic,abs_interaction_10_5_sort_prob,7,0.01388888888888895
titanic,abs_interaction_10_5_full_random,1,0.01388888888888895
titanic,abs_interaction_10_5_full_random,2,0.02777777777777779
titanic,abs_interaction_10_5_full_random,3,0.01388888888888895
titanic,abs_interaction_10_5_full_random,4,0.01388888888888895
titanic,abs_interaction_10_5_full_random,5,0.01388888888888895
titanic,abs_interaction_10_5_full_random,6,0.01388888888888895
titanic,abs_interaction_10_5_full_random,7,0.01388888888888895
titanic,abs_interaction_10_5_full_sort,1,0.02777777777777779
titanic,abs_interaction_10_5_full_sort,2,0.02777777777777779
titanic,abs_interaction_10_5_full_sort,3,0.02777777777777779
titanic,abs_interaction_10_5_full_sort,4,0.02777777777777779
titanic,abs_interaction_10_5_full_sort,5,0.02777777777777779
titanic,abs_interaction_10_5_full_sort,6,0.02777777777777779
titanic,abs_interaction_10_5_full_sort,7,0.04166666666666674
titanic,abs_interaction_10_5_full_prob,1,0.02777777777777779
titanic,abs_interaction_10_5_full_prob,2,0.01388888888888895
titanic,abs_interaction_10_5_full_prob,3,0.01388888888888895
titanic,abs_interaction_10_5_full_prob,4,0.01388888888888895
titanic,abs_interaction_10_5_full_prob,5,0.01388888888888895
titanic,abs_interaction_10_5_full_prob,6,0.02777777777777779
titanic,abs_interaction_10_5_full_prob,7,0.02777777777777779
titanic,abs_interaction_10_10_random_random,1,0.05555555555555558
titanic,abs_interaction_10_10_random_random,2,0.02777777777777779
titanic,abs_interaction_10_10_random_random,3,0.02777777777777779
titanic,abs_interaction_10_10_random_random,4,0.02777777777777779
titanic,abs_interaction_10_10_random_random,5,0.02777777777777779
titanic,abs_interaction_10_10_random_random,6,0.04166666666666674
titanic,abs_interaction_10_10_random_random,7,0.05555555555555558
titanic,abs_interaction_10_10_random_sort,1,0.02777777777777779
titanic,abs_interaction_10_10_random_sort,2,0.02777777777777779
titanic,abs_interaction_10_10_random_sort,3,0.02777777777777779
titanic,abs_interaction_10_10_random_sort,4,0.02777777777777779
titanic,abs_interaction_10_10_random_sort,5,0.02777777777777779
titanic,abs_interaction_10_10_random_sort,6,0.02777777777777779
titanic,abs_interaction_10_10_random_sort,7,0.04166666666666674
titanic,abs_interaction_10_10_random_prob,1,0.05555555555555558
titanic,abs_interaction_10_10_random_prob,2,0.02777777777777779
titanic,abs_interaction_10_10_random_prob,3,0.01388888888888895
titanic,abs_interaction_10_10_random_prob,4,0.0
titanic,abs_interaction_10_10_random_prob,5,0.0
titanic,abs_interaction_10_10_random_prob,6,0.01388888888888895
titanic,abs_interaction_10_10_random_prob,7,0.02777777777777779
titanic,abs_interaction_10_10_sort_random,1,0.02777777777777779
titanic,abs_interaction_10_10_sort_random,2,0.02777777777777779
titanic,abs_interaction_10_10_sort_random,3,0.01388888888888895
titanic,abs_interaction_10_10_sort_random,4,0.01388888888888895
titanic,abs_interaction_10_10_sort_random,5,0.01388888888888895
titanic,abs_interaction_10_10_sort_random,6,0.02777777777777779
titanic,abs_interaction_10_10_sort_random,7,0.02777777777777779
titanic,abs_interaction_10_10_sort_sort,1,0.02777777777777779
titanic,abs_interaction_10_10_sort_sort,2,0.02777777777777779
titanic,abs_interaction_10_10_sort_sort,3,0.02777777777777779
titanic,abs_interaction_10_10_sort_sort,4,0.02777777777777779
titanic,abs_interaction_10_10_sort_sort,5,0.02777777777777779
titanic,abs_interaction_10_10_sort_sort,6,0.02777777777777779
titanic,abs_interaction_10_10_sort_sort,7,0.04166666666666674
titanic,abs_interaction_10_10_sort_prob,1,0.04166666666666674
titanic,abs_interaction_10_10_sort_prob,2,0.01388888888888895
titanic,abs_interaction_10_10_sort_prob,3,0.01388888888888895
titanic,abs_interaction_10_10_sort_prob,4,0.01388888888888895
titanic,abs_interaction_10_10_sort_prob,5,0.01388888888888895
titanic,abs_interaction_10_10_sort_prob,6,0.01388888888888895
titanic,abs_interaction_10_10_sort_prob,7,0.01388888888888895
titanic,abs_interaction_10_10_full_random,1,0.04166666666666674
titanic,abs_interaction_10_10_full_random,2,0.01388888888888895
titanic,abs_interaction_10_10_full_random,3,0.02777777777777779
titanic,abs_interaction_10_10_full_random,4,0.01388888888888895
